city,zpid,zipcode,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms
austin,70338352,78724,12632.4,1749,2.0,4
austin,29351440,78731,3920.0,1644,2.0,3
austin,29368445,78750,13503.6,3114,3.0,4
austin,125158378,78732,12196.8,3393,4.0,4
austin,29342428,78733,19602.0,1848,2.0,3
austin,125792770,78744,6621.0,2953,3.0,4
austin,29355939,78731,26571.6,1600,0.0,0
austin,88013884,78717,6403.0,2256,3.0,3
austin,29368633,78726,7405.0,2415,2.0,4
austin,83824877,78732,11761.2,4589,5.0,4
austin,29344906,78730,43560.0,3009,4.0,4
austin,29351438,78731,3920.0,1456,2.0,2
austin,29342427,78733,20908.8,2094,3.0,3
austin,29396897,78724,5052.0,1200,2.0,3
austin,83124877,78732,7971.0,3323,3.0,4
austin,29461349,78725,5062.0,1662,2.0,3
austin,70336926,78735,11325.6,3983,4.0,4
austin,58298435,78750,5662.0,1799,2.0,3
austin,29368631,78726,7710.0,2761,3.0,3
austin,145656010,78725,6272.0,1496,2.0,3
pflugerville,241936613,78660,12196.8,2112,3.0,4
austin,29351434,78731,9365.0,2519,3.0,3
austin,29368608,78726,12196.8,4263,5.0,4
austin,89551873,78732,116740.8,13731,10.0,5
austin,83827393,78724,5227.0,1221,2.0,3
austin,89551502,78725,8189.0,1420,2.0,3
austin,29374438,78750,16988.4,2904,4.0,4
austin,29342422,78733,21780.0,1406,2.0,3
austin,80104872,78732,7492.0,2045,2.0,3
austin,58298431,78750,4573.0,1359,2.0,2
austin,144176918,78733,14810.4,1780,3.0,3
pflugerville,241936608,78660,12196.8,2432,3.0,4
austin,29368594,78726,12196.8,3328,4.0,5
austin,29375933,78750,15681.6,3451,3.0,4
austin,29357371,78734,15681.6,3020,4.0,5
austin,29344897,78730,16552.8,2812,3.0,3
austin,70336913,78735,14374.8,3294,3.0,4
austin,64737390,78724,5662.0,1511,3.0,3
austin,29368593,78726,7666.0,3274,4.0,4
austin,29357369,78734,15681.6,2944,3.0,3
austin,120898908,78732,14810.4,3029,4.0,4
austin,29376431,78726,8441.0,3346,4.0,5
austin,29343397,78746,48787.2,4700,6.0,5
austin,29358974,78750,10544.0,2728,3.0,4
austin,111371886,78724,6229.0,2491,3.0,5
austin,79980405,78733,43995.6,9368,6.0,5
austin,83124867,78732,7753.0,3358,4.0,4
austin,29339395,78746,109771.2,5506,7.0,5
austin,80104386,78724,6272.0,1761,2.0,4
austin,63835340,78724,6882.0,1326,2.0,3
austin,29357366,78734,16117.2,3700,4.0,5
austin,29368548,78726,16988.4,3884,4.0,5
austin,67415405,78733,13939.2,3076,3.0,4
austin,29353930,78731,14374.8,2068,2.0,3
austin,88019360,78717,8712.0,2708,3.0,4
austin,29363429,78750,14374.8,2898,3.0,3
austin,80104364,78732,19166.4,4597,5.0,4
pflugerville,249891101,78660,8529.0,2193,3.0,4
austin,63835337,78724,6098.0,1952,3.0,4
austin,29341393,78746,59677.2,5261,4.0,5
austin,29566857,78750,13503.6,1723,2.0,3
austin,29342404,78733,24393.6,2110,3.0,3
austin,29368532,78726,13068.0,2622,3.0,4
austin,83815356,78732,182080.8,7158,7.0,6
austin,58298927,78750,5096.0,1096,2.0,2
austin,29343391,78746,21780.0,4840,4.0,4
austin,70352403,78732,8886.0,4150,4.0,5
austin,80104481,78732,13939.2,4549,6.0,5
austin,29363427,78750,10006.0,2489,3.0,4
austin,70992349,78717,6534.0,2030,3.0,3
austin,29341389,78746,17859.6,3724,5.0,5
austin,90240400,78733,62290.8,4616,4.0,5
austin,251034742,78744,8398.0,2502,3.0,3
austin,58298426,78750,5489.0,1747,2.0,3
austin,70330400,78733,45302.4,5650,7.0,5
austin,29368530,78726,11761.2,2484,3.0,4
austin,111372365,78724,5749.0,1650,2.0,3
austin,111973229,78725,5314.0,1178,2.0,3
austin,29344884,78730,21780.0,4800,5.0,3
austin,241931861,78724,4835.0,2470,3.0,3
austin,121657728,78725,4181.0,1426,2.0,3
austin,55299492,78737,69696.0,4417,6.0,4
austin,80104336,78732,5662.0,1947,2.0,3
austin,70352400,78732,9452.0,3335,4.0,4
austin,29341382,78746,29620.8,3649,5.0,4
pflugerville,251030552,78660,12196.8,2112,3.0,4
austin,70992345,78717,8189.0,1815,3.0,3
austin,29462725,78725,6534.0,1726,3.0,3
austin,29461328,78725,5248.0,1692,2.0,3
austin,29340878,78733,64904.4,3852,4.0,4
austin,55299490,78737,83635.2,3750,3.0,4
austin,70352399,78732,9452.0,4172,4.0,5
austin,29395357,78724,6621.0,1116,2.0,4
austin,29462724,78725,5445.0,1476,3.0,3
austin,29340875,78733,73180.8,3652,4.0,4
austin,29368517,78726,12632.4,2949,3.0,4
austin,83823333,78732,12632.4,4326,6.0,5
pflugerville,120900046,78660,6141.0,1652,2.0,3
austin,83833421,78730,46609.2,4808,4.0,4
austin,70335832,78732,10018.0,2746,3.0,4
austin,29370422,78750,10367.0,3033,3.0,4
austin,70992341,78717,7753.0,2015,3.0,3
austin,88023921,78750,6272.0,2825,3.0,4
austin,29341366,78746,67082.4,6078,6.0,4
austin,251033728,78744,5985.0,2570,3.0,4
austin,70992334,78717,6098.0,1626,2.0,3
pflugerville,120897535,78660,9016.0,2502,3.0,4
austin,80093353,78724,5706.0,1442,2.0,3
austin,29459824,78725,5662.0,1898,3.0,3
austin,29346897,78733,43560.0,3675,4.0,5
austin,29340866,78733,137214.0,4016,4.0,4
austin,70992331,78717,11761.2,2868,4.0,4
austin,29351415,78731,14810.4,3427,4.0,3
austin,29342397,78733,32234.4,1686,2.0,4
austin,241938219,78744,6534.0,2289,3.0,4
austin,29368420,78750,12196.8,2269,3.0,4
austin,29368500,78726,10890.0,2698,3.0,4
austin,83828324,78732,102366.0,5555,6.0,4
austin,70348860,78730,28314.0,6038,8.0,5
pflugerville,249878946,78660,9883.0,1865,2.0,4
austin,29351414,78731,14374.8,3994,4.0,4
austin,70345711,78725,4660.0,1986,3.0,5
austin,70992322,78717,8842.0,2471,2.0,3
austin,145658498,78724,5793.0,2526,4.0,3
austin,145655717,78744,4399.0,1772,3.0,3
austin,29360913,78750,7293.0,2294,3.0,3
austin,64696895,78735,11325.6,3533,4.0,4
austin,185217321,78717,7927.0,1837,2.0,3
austin,70345708,78725,4660.0,1378,2.0,3
austin,84138980,78737,16552.8,3854,4.0,4
austin,83824836,78724,5662.0,2573,3.0,4
austin,2088560215,78744,8929.0,2457,3.0,4
austin,70352394,78732,12196.8,2538,3.0,3
austin,29462708,78725,6316.0,1467,3.0,3
austin,29344853,78746,13068.0,3092,4.0,4
austin,64640832,78724,5749.0,1339,2.0,3
austin,55299479,78737,53578.8,3062,4.0,4
austin,29375915,78750,10759.0,2611,3.0,5
austin,29344851,78746,13503.6,3385,4.0,4
