zpid,city,zipcode,latitude,longitude,yearBuilt,latestPrice,latest_salemonth,lotSizeSqFt,livingAreaSqFt,avgSchoolRating,numOfBathrooms,numOfBedrooms
110538990,austin,78750,30.39213753,-97.8269043,2010,450000,8,6368,2283,7,3,4
29372980,austin,78726,30.43273163,-97.82700348,1995,463700,10,9539,3115,8,3,4
29370898,austin,78726,30.42333984,-97.8644104,2001,549900,8,10105,3794,7,4,4
29358990,austin,78750,30.37599945,-97.7984848,1983,690000,1,10367,2967,7,3,4
116080957,austin,78717,30.48835182,-97.79445648,2014,584900,3,7501,3787,7.666666667,4,5
111373282,pflugerville,78660,30.43100929,-97.66204071,2011,287500,6,7623,2314,2.666666667,3,5
29375979,austin,78750,30.44328117,-97.79827881,1977,599800,9,11325.6,2753,8.666666667,3,5
241932935,austin,78744,30.17821121,-97.69682312,2016,325000,9,6185,2068,3.666666667,3,4
29370894,austin,78726,30.42362785,-97.86334991,2001,574900,3,11325.6,3338,7,4,4
121658485,austin,78750,30.39304733,-97.82636261,2013,374000,4,6368,2283,7,3,4
29375978,austin,78750,30.44368362,-97.79793549,1977,699900,10,27442.8,2997,8.666666667,3,4
145654939,austin,78725,30.24139214,-97.57658386,2017,205000,9,7274,1225,3,2,3
29351485,austin,78731,30.35377121,-97.79362488,1984,425000,7,3920,1573,7,2,3
29392994,austin,78725,30.28166008,-97.66173553,1971,120000,6,9452,1745,3.666666667,2,4
111371253,pflugerville,78660,30.4310627,-97.66221619,2011,225000,10,8276,1375,2.666666667,2,3
2088245915,austin,78744,30.16103935,-97.71595001,2017,388990,10,6969,2502,3.666666667,3,4
29373974,austin,78750,30.43559074,-97.78577423,1972,435000,10,16988.4,2313,8.666666667,2,4
241932874,austin,78725,30.23648262,-97.58241272,2016,218800,5,5706,1480,3,2,3
145551433,austin,78725,30.23937988,-97.57323456,2015,200000,12,6194,1321,3,3,3
29376473,austin,78726,30.44245338,-97.82276917,1989,368500,3,7230,2267,8,2,4
29347484,austin,78730,30.35632515,-97.8372345,1996,799000,6,142441.2,4491,7,7,5
116080950,austin,78717,30.48777962,-97.79277039,2014,622800,12,7187,2903,7.666666667,3,3
83814991,austin,78724,30.28354454,-97.62621307,2009,259900,3,12196.8,2573,3.666666667,3,3
116080945,austin,78717,30.48757362,-97.79372406,2014,525000,2,7710,3187,7.666666667,3,4
63835425,austin,78724,30.25222778,-97.58052063,2004,180000,10,6229,1326,2.666666667,2,3
70341361,austin,78725,30.22755814,-97.58959198,2005,184900,8,4312,1203,3,2,3
89550707,austin,78725,30.21356583,-97.63741302,2010,219000,9,10000,1256,3,2,3
114405230,pflugerville,78660,30.4310627,-97.66323853,2011,293300,2,6011,3047,2.666666667,3,3
29459909,austin,78725,30.24378967,-97.58449554,1988,229999,5,7274,1712,3,3,3
29375972,austin,78750,30.43881416,-97.79473877,1975,415000,3,13503.6,2234,8.666666667,3,3
29396983,austin,78724,30.2913475,-97.64522552,1980,175000,12,4835,1315,3.666666667,2,3
145656393,austin,78744,30.16173935,-97.71949768,2016,389900,7,9626,3319,3.666666667,3,5
116080940,austin,78717,30.48785782,-97.79470062,2013,536170,8,7230,3415,7.666666667,4,5
29370850,austin,78726,30.42441559,-97.86055756,2001,665000,11,18295.2,4137,7,4,5
29459907,austin,78725,30.24393082,-97.5848465,1987,179900,3,5880,1587,3,2,4
2082038175,austin,78725,30.22014999,-97.63470459,2019,341054,12,5000,2643,3,3,4
29358997,austin,78750,30.37620926,-97.7973175,1984,428000,10,8537,2576,7,3,3
70341359,austin,78725,30.2273674,-97.58971405,2005,185000,12,4312,1203,3,2,3
185217435,austin,78717,30.4965477,-97.79748535,2008,415000,8,10236,3257,8.333333333,4,5
83823977,austin,78724,30.28300095,-97.62763977,2009,249900,6,6098,1659,3.666666667,3,3
70352470,austin,78732,30.35407639,-97.91303253,2006,725000,5,19166.4,3486,8.333333333,4,4
145551402,austin,78725,30.23840714,-97.57384491,2015,198000,12,6098,1321,3,3,3
29355980,austin,78730,30.37429428,-97.80758667,1984,550000,1,55321.2,2100,7,2,3
29465172,austin,78725,30.22450066,-97.62870026,1995,179900,6,14374.8,1500,3,2,3
