city,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
austin,78750,30.39213753,-97.8269043,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Townhouse,0,2010,450000,1,0,2,1,0,0,6368,2283,0.6,7,1381,16,3,4,2
austin,78726,30.43273163,-97.82700348,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1995,463700,1,0,2,1,0,0,9539,3115,1.533333333,8,1275,15,3,4,2
austin,78726,30.42333984,-97.8644104,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,2001,549900,1,0,3,2,0,0,10105,3794,2.133333333,7,1277,16,4,4,2
austin,78750,30.37599945,-97.7984848,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1983,690000,3,0,5,1,0,0,10367,2967,2.933333333,7,1523,17,3,4,2
austin,78717,30.48835182,-97.79445648,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2014,584900,1,0,3,2,0,0,7501,3787,3.3,7.666666667,1259,14,4,5,2
pflugerville,78660,30.43100929,-97.66204071,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2011,287500,3,0,3,2,0,0,7623,2314,1.333333333,2.666666667,1063,14,3,5,1
austin,78750,30.44328117,-97.79827881,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1977,599800,2,0,7,1,2,1,11325.6,2753,0.833333333,8.666666667,1632,16,3,5,1
austin,78744,30.17821121,-97.69682312,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2016,325000,1,0,4,1,0,0,6185,2068,2.9,3.666666667,1532,12,3,4,2
austin,78726,30.42362785,-97.86334991,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2001,574900,1,0,3,1,0,0,11325.6,3338,2.133333333,7,1277,16,4,4,2
austin,78750,30.39304733,-97.82636261,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Condo,2,2013,374000,3,0,3,2,0,0,6368,2283,0.6,7,1381,16,3,4,2
austin,78750,30.44368362,-97.79793549,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1977,699900,3,0,3,1,1,1,27442.8,2997,0.833333333,8.666666667,1632,16,3,4,1
austin,78725,30.24139214,-97.57658386,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2017,205000,2,0,3,1,0,0,7274,1225,2.033333333,3,1457,13,2,3,1
austin,78731,30.35377121,-97.79362488,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1984,425000,1,0,7,1,0,2,3920,1573,3.433333333,7,1177,16,2,3,1
austin,78725,30.28166008,-97.66173553,1.98,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1971,120000,7,0,1,1,0,0,9452,1745,2.466666667,3.666666667,480,14,2,4,1
pflugerville,78660,30.4310627,-97.66221619,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2011,225000,5,0,4,1,0,0,8276,1375,1.333333333,2.666666667,1063,14,2,3,1
austin,78744,30.16103935,-97.71595001,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2017,388990,3,0,4,1,0,0,6969,2502,3.1,3.666666667,1532,12,3,4,1
austin,78750,30.43559074,-97.78577423,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,1972,435000,2,0,3,2,0,0,16988.4,2313,1.1,8.666666667,1632,16,2,4,1
austin,78725,30.23648262,-97.58241272,1.98,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,4,2016,218800,2,0,3,2,0,0,5706,1480,1.833333333,3,1457,13,2,3,1
austin,78725,30.23937988,-97.57323456,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Condo,0,2015,200000,1,0,3,1,2,1,6194,1321,2.233333333,3,1457,13,3,3,2
austin,78726,30.44245338,-97.82276917,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1989,368500,2,0,0,1,0,0,7230,2267,1.2,8,1275,15,2,4,1
austin,78730,30.35632515,-97.8372345,1.98,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,3,1996,799000,5,0,2,2,0,0,142441.2,4491,2.466666667,7,1381,16,7,5,2
austin,78717,30.48777962,-97.79277039,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2014,622800,1,0,3,2,0,0,7187,2903,3.266666667,7.666666667,1259,14,3,3,1
austin,78724,30.28354454,-97.62621307,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2009,259900,1,0,3,1,0,0,12196.8,2573,2.733333333,3.666666667,1085,11,3,3,2
austin,78717,30.48757362,-97.79372406,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Single Family,0,2014,525000,3,0,3,2,0,0,7710,3187,3.266666667,7.666666667,1259,14,3,4,2
austin,78724,30.25222778,-97.58052063,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2004,180000,3,0,4,2,0,0,6229,1326,2.166666667,2.666666667,1478,13,2,3,1
austin,78725,30.22755814,-97.58959198,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2005,184900,2,0,5,1,0,0,4312,1203,1.866666667,3,1457,13,2,3,1
austin,78725,30.21356583,-97.63741302,1.98,4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,4,2010,219000,1,0,4,2,1,3,10000,1256,3.3,3,1457,13,2,3,1
pflugerville,78660,30.4310627,-97.66323853,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2011,293300,6,0,3,1,0,0,6011,3047,1.3,2.666666667,1063,14,3,3,2
austin,78725,30.24378967,-97.58449554,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1988,229999,1,0,4,1,0,0,7274,1712,1.7,3,1457,13,3,3,2
austin,78750,30.43881416,-97.79473877,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1975,415000,1,0,0,1,0,0,13503.6,2234,0.9,8.666666667,1632,16,3,3,1
austin,78724,30.2913475,-97.64522552,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,1980,175000,2,0,2,2,0,0,4835,1315,3.1,3.666666667,1085,11,2,3,1
austin,78744,30.16173935,-97.71949768,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Single Family,0,2016,389900,4,0,7,1,2,2,9626,3319,3.066666667,3.666666667,1532,12,3,5,2
austin,78717,30.48785782,-97.79470062,2.21,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,536170,9,0,6,3,0,0,7230,3415,3.3,7.666666667,1259,14,4,5,2
austin,78726,30.42441559,-97.86055756,1.98,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Single Family,2,2001,665000,1,0,1,2,0,0,18295.2,4137,2.033333333,7,1277,16,4,5,2
